운동 동작,대분류,난이도,부위,도구,목적,설명,영상
짐볼에 다리 올려 상체 들기,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,두 다리를 짐볼 위에 올리고 반듯하게 누워주세요. 턱을 당기고 두 손을 무릎 쪽으로 뻗은 다음 상체를 들어주세요. 날개뼈가 살짝 떨어질 정도로 들어주시면 됩니다. 배에 힘이 들어올 것입니다. 허리나 골반은 바닥에서 뜨지 않게 유지해 주세요. 배를 계속 등 쪽으로 당기면서 자세를 유지합니다. 허리나 목에 통증이 생기지 않아야 합니다. 호흡과 함께 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1327/MG/5904a19784a2e4f8003213568d1951fc.mp4
짐볼에 다리 올려 상체 들기 2,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,두 다리를 짐볼 위에 올리고 반듯하게 누워주세요. 턱을 당기고 두 손을 무릎 쪽으로 뻗은 다음 상체를 들었다가 내려갑니다. 날개뼈가 떨어질 정도로 들어주시고 머리가 닿기 전까지 내려가주세요. 배에 힘이 들어올 것입니다. 허리나 골반은 바닥에서 뜨지 않게 유지해 주세요. 배를 계속 등 쪽으로 당기면서 동작을 반복합니다. 허리나 목에 통증이 생기지 않아야 합니다. 호흡과 함께 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1328/MG/cd7289c505596ea5b045de0a4e197acf.mp4
짐볼에 다리 올려 상체 들기 3,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,두 다리를 짐볼 위에 올리고 반듯하게 누워주세요. 두 손으로 목을 잡고 턱을 당긴 다음 상체를 들어주세요. 날개뼈가 살짝 떨어질 정도로 들어주시면 됩니다. 배에 힘이 들어올 것입니다. 허리나 골반은 바닥에서 뜨지 않게 유지해 주세요. 배를 계속 등 쪽으로 당기면서 자세를 유지합니다. 허리나 목에 통증이 생기지 않아야 합니다. 호흡과 함께 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1329/MG/49d2533da8d1ed360b1502204789510d.mp4
짐볼에 다리 올려 상체 들기 4,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,두 다리를 짐볼 위에 올리고 반듯하게 누워주세요. 두 손으로 목을 잡고 턱을 당긴 다음 상체를 들었다가 내려가세요. 날개뼈가 떨어질 정도로 들었다가 머리가 닿기 전까지 내려주세요. 배에 힘이 들어올 것입니다. 허리나 골반은 바닥에서 뜨지 않게 유지해 주세요. 배를 계속 등 쪽으로 당기며 동작을 반복합니다. 허리나 목에 통증이 생기지 않아야 합니다. 호흡과 함께 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1330/MG/b5efb1d24859a7bec8898b34da613425.mp4
짐볼에 다리 올려 양쪽 대각선 윗몸일으키기,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,짐볼에 다리를 올리고 바로 누워주세요. 손을 머리 뒤에 두어 머리를 받쳐 주세요. 턱을 당기며 머리와 등을 바닥에서 들어주세요. 한쪽 다리도 들어 든 다리의 무릎과 반대쪽 팔꿈치가 서로 닿는 방향으로 움직여주세요. 반대쪽도 똑같이 반복해 주세요. 배에 힘이 들어오는 것을 느껴주세요. 허리가 바닥에서 뜨거나 통증이 생기지 않아야 합니다. 숨을 참거나 목에 힘이 들어가지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1808/MG/45bbef87f42754af9c8bf3e0bc3dd15f.mp4
짐볼에 다리 올려 양쪽 대각선 윗몸일으키기 2,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,짐볼에 다리를 올리고 바로 누워주세요. 두 손으로 목과 머리를 받쳐주세요. 턱을 당기며 머리와 등을 바닥에서 들어 대각선으로 당겨와 팔꿈치가 반대쪽 무릎으로 향하게 한 다음 제자리로 돌아가 반대쪽으로 똑같이 움직여주세요. 배에 힘이 들어오는 것을 느껴주세요. 허리가 바닥에서 뜨거나 통증이 생기지 않아야 합니다. 숨을 참거나 목에 힘이 들어가지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1811/MG/be907ec10d91a16f9287a2384c8a2312.mp4
짐볼에 다리 올려 양쪽 대각선 윗몸일으키기 3,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
큰공",근력,다리를 짐볼 위에 올리고 누운 자세에서 턱을 당겨주세요. 팔을 움직이고자 하는 방향의 다리 옆으로 뻗으면서 머리와 등을 바닥에서 들어주세요. 반대쪽도 똑같이 진행해 주세요. 배에 힘이 들어올 거예요. 엉덩이가 바닥에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1814/MG/a71f1136840a94ede3f6e3510dad1651.mp4
짐볼에 두 발 두고 브릿지,균형 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,"매트|  
큰공",균형,짐볼에 두 발을 올리고 누워주세요. 손바닥으로 바닥을 지지하고 두 발로 짐볼을 밀어 엉덩이를 들어주세요. 엉덩이와 허벅지 뒷부분에 힘이 들어오는 것을 느껴주세요. 짐볼에서 발이 떨어져 넘어지지 않도록 주의하세요. 목이나 어깨에 힘이 많이 들어가지 않도록 해주세요. 코어에 힘을 주어 허리가 꺾이지 않게 하고 골반을 반듯하게 들어 유지할 수 있도록 해주세요. 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1495/MG/e7c46312c3e4c55d3ae081bbcc445ea1.mp4
짐볼에 두 발 두고 브릿지 2,균형 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,"매트|  
큰공",균형,짐볼에 두 발을 올리고 누워주세요. 손바닥으로 바닥을 지지하고 두 발로 짐볼을 밀어 엉덩이를 들었다 내려주세요. 엉덩이와 허벅지 뒷부분에 힘이 들어오는 것을 느껴주세요. 짐볼에서 발이 떨어져 넘어지지 않도록 주의하세요. 목이나 어깨에 힘이 많이 들어가지 않도록 해주세요. 코어에 힘을 주어 허리가 꺾이지 않게 하고 골반을 반듯하게 들 수 있도록 해주세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1496/MG/3ef5f8a106ec56e2b65f4ddf56a6a85b.mp4
짐볼에 등 대고 한 발 들기,균형 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,"매트|  
큰공",균형,짐볼에 등을 기대고 두 발로 바닥을 밀어 엉덩이를 들어서 균형을 잡은 다음 한 다리를 들어 주세요. 코어와 바닥을 지지하는 다리의 엉덩이와 허벅지에 힘으로 자세를 유지해 주세요. 허리가 꺾이거나 다리가 한쪽으로 넘어가지 않도록 하고 짐볼에서 넘어지지 않도록 주의하세요. 일정 시간 유지한 다음 천천히 다리를 내려 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1497/MG/021395692743660ff41bd38ab72ee09b.mp4
짐볼에 등 대고 한 발 들기 2,균형 /닫힌사슬운동 /능동,어려움,고관절&골반|무릎,"매트|  
큰공",균형,짐볼에 등을 기대고 두 발로 바닥을 밀어 엉덩이를 들어서 균형을 잡은 다음 한 다리를 들어 무릎을 폈다가 내려주세요. 코어와 바닥을 지지하는 다리의 엉덩이와 허벅지에 힘으로 자세를 유지해 주세요. 허리가 꺾이거나 다리가 한쪽으로 넘어가지 않도록 하고 짐볼에서 넘어지지 않도록 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1498/MG/fe090b008109594a6dbe06a1cc842885.mp4
짐볼에 바르게 앉기,균형 /닫힌사슬운동 /능동,쉬움,복부|허리,큰공,균형,양발과 무릎을 골반 너비로 벌리고 짐볼에 앉습니다. 골반을 움직여 중간 자세를 잡고 상체를 반듯하게 세워주세요. 발바닥으로 바닥을 눌러 허벅지에 힘이 들어오는 것을 느낍니다. 상체는 정수리가 천장을 향하는 느낌으로 자세를 유지합니다. 코어에 힘을 주어 몸이 흔들리지 않도록 해주세요. 일정 시간 유지 후 천천히 힘을 풀어 마무리합니다.,https://resources.mora.kr/static/exercise/media/536/MG/d5b308748d8cae4e7ce311bc315df403.mp4
짐볼에 앉아 골반 움직이기,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반|복부|허리,큰공,관절 움직임,짐볼에 반듯하게 앉고 골반 너비로 발을 바닥에 둡니다. 허리를 둥글게 마는 듯이 골반을 말아 꼬리뼈가 짐볼에 닿게 한 다음 반대로 허리에 아치를 만들 듯이 골반을 움직여 꼬리뼈가 뒤로 향하게 움직이는 것을 반복합니다. 골반의 후방경사와 전방경사의 움직임으로 움직이는 동안 무릎은 발과 일직선으로 어깨와 등은 반듯한 자세를 유지해주셔야 합니다. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/537/MG/e25ecf1813a6c810aa36fdd20e338089.mp4
짐볼에 앉아 골반돌리기,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반|허리,큰공,관절 움직임,짐볼 위에 앉아 다리를 어깨너비로 두고 상체를 바르게 한 상태에서 코어에 힘을 줍니다. 두 발은 바닥에 있는 상태로 엉덩이로 원을 그리듯이 짐볼을 굴려줍니다. 머리는 계속 중앙에 있도록 해주세요. 고관절과 골반에 움직임을 주는 동작입니다. 허리의 자세가 무너지거나 통증이 생기지 않게 주의하세요. 일정횟수 동작 후 제자리로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/548/MG/8d473ff323118ed12870cb020ab8adb9.mp4
짐볼에 앉아 몸통 돌리기,관절 움직임 /열린사슬운동 /능동,매우 쉬움,등|목|허리,큰공,관절 움직임,짐볼에 바르게 앉아 두 손을 허벅지 위에 올려주세요. 허벅지에 있는 손을 무릎 쪽으로 밀면서 몸을 반대쪽으로 돌려주세요. 다시 정면으로 돌아온 다음 반대쪽도 똑같이 움직여주세요. 짐볼이 흔들리지 않게 코어를 유지하면서 몸을 돌려 척추의 움직임을 만들어주세요. 허리에 통증이 생기지 않는 범위 안에서 움직여주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2609/MG/e21d1284fa327f6664e2b9abcd7963b4.mp4
짐볼에 앉아 발목 발등굽힘,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,발목&발,큰공,관절 움직임,발을 바닥에 붙이고 짐볼에 앉습니다. 발등의 움직임을 주고자 하는 쪽 다리의 무릎을 앞으로 보내면서 체중을 실어 발목의 발등 굽힘이 가능한 만큼 움직여주세요. 뒤꿈치는 바닥에서 떨어지지 않아야 합니다. 발등 굽힘의 움직임을 만들기 위한 동작으로 종아리 쪽에서 스트레칭이 느껴지거나 발목 앞쪽에 뻐근함이 느껴질 수 있습니다. 관절에 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/652/MG/b72235a9699802003966c45fcfc7f0be.mp4
짐볼에 앉아 발목 발등굽힘 2,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,발목&발,큰공,관절 움직임,발을 바닥에 붙이고 짐볼에 앉습니다. 발등의 움직임을 주고자 하는 쪽 다리의 무릎을 앞으로 보내면서 체중을 실어 발목의 발등 굽힘이 가능한 만큼 움직였다 돌아옵니다. 뒤꿈치는 바닥에서 떨어지지 않아야 합니다. 발등 굽힘의 움직임을 만들기 위한 동작으로 종아리 쪽에서 스트레칭이 느껴지거나 발목 앞쪽에 뻐근함이 느껴질 수 있습니다. 관절에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/653/MG/8e970c3e13c23a9e66e3015f35eb4ef1.mp4
짐볼에 앉아 밴드 당기기,균형 /열린사슬운동 /능동,쉬움,등|복부|어깨,"탄력밴드|  
큰공|  
테이블",균형,짐볼에 앉아서 앞에 고정해 둔 탄력밴드를 양손으로 잡고 팔꿈치를 굽히면서 몸 옆으로 당겼다 돌아오세요. 밴드를 움직일 때 배를 등 쪽으로 당기듯 코어에 힘을 주어 허리가 움직이지 않도록 합니다. 짐볼이 움직이지 않도록 두 발은 바닥을 눌러 바르게 앉은 자세를 유지해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1291/MG/530a1fdaffabe0be55446b6319e145e4.mp4
짐볼에 앉아 밴드 당기기 2,균형 /열린사슬운동 /능동,쉬움,등|복부|어깨,"탄력밴드|  
큰공|  
테이블",균형,짐볼에 앉아서 앞쪽 위에 고정해 둔 탄력밴드를 양손으로 잡고 상체를 앞으로 숙인 다음 팔꿈치를 굽히면서 배꼽으로 당겼다 돌아오세요. 밴드를 움직일 때 배를 등 쪽으로 당기듯 코어에 힘을 주어 허리가 움직이지 않도록 합니다. 짐볼이 움직이지 않도록 두 발은 바닥을 눌러 바르게 앉은 자세를 유지해 주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1292/MG/1ef427b1a54783c637e2b9f7220045f3.mp4
짐볼에 앉아 밴드 잡고 몸통 돌리기,근력 /열린사슬운동 /능동,보통,복부|허리,"탄력밴드|  
의자|  
큰공|  
테이블",근력,짐볼에 바로 앉은 자세에서 탄력밴드를 옆에 고정하고 두 손으로 잡아주세요. 두 손은 앞에 두고 몸을 돌려 밴드를 당겨주세요. 어깨나 고개를 움직이지 말고 몸 전체를 돌려주세요. 복부에 힘이 들어오는 것을 느껴주세요. 엉덩이가 짐볼에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않게 주의하세요. 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2629/MG/e27accd96c76b08d38b9636acf568c33.mp4
짐볼에 앉아 밴드 잡고 몸통 돌리기 2,근력 /열린사슬운동 /능동,보통,복부|허리,"탄력밴드|  
의자|  
큰공|  
테이블",근력,짐볼에 바로 앉은 자세에서 탄력밴드를 옆에 고정하고 두 손으로 잡아주세요. 두 손은 앞에 두고 몸을 돌려 밴드를 당겼다 제자리로 돌아가세요. 어깨나 고개를 움직이지 말고 몸 전체를 돌려주세요. 복부에 힘이 들어오는 것을 느껴주세요. 엉덩이가 짐볼에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2630/MG/fb9cea427f0d53ff45c1a30ca57bea80.mp4
짐볼에 앉아 밴드 잡고 몸통 돌리기 3,근력 /열린사슬운동 /능동,보통,복부|허리,"탄력밴드|  
의자|  
큰공|  
테이블",근력,짐볼에 바로 앉은 자세에서 탄력밴드를 앞에 고정하고 두 손으로 잡아주세요. 두 손은 앞에 두고 몸을 돌려 밴드를 당겼다 제자리로 돌아온 다음 반대쪽으로도 똑같이 움직여주세요. 어깨나 고개를 움직이지 말고 몸 전체를 돌려주세요. 복부에 힘이 들어오는 것을 느껴주세요. 엉덩이가 짐볼에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2631/MG/fba96d5afe14e70ccb5c7509c9ef964a.mp4
짐볼에 앉아 번갈아 다리 들기,균형 /열린사슬운동 /능동,쉬움,무릎|복부|허리,큰공,균형,짐볼 위에 앉아 다리를 골반 너비로 두고 골반을 앞뒤로 움직여 중간을 찾은 다음 코어에 힘을 줍니다. 한쪽 다리에 체중을 실어주는 동시에 반대쪽 다리의 무릎을 펴 다리를 들어주세요. 코어에 힘을 계속 유지하여 균형을 잡으면서 상체 자세가 흐트러지지 않게 하고 두 무릎이 모이 거나 벌어지지 않고 골반너비를 유지할 수 있도록 합니다. 일정 횟수 반복 후 중간지점으로 돌아와 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/541/MG/ca1a3d4e45ce0194a51abcba9bda54d0.mp4
짐볼에 앉아 번갈아 뒤꿈치 들기,균형 /닫힌사슬운동 /능동,쉬움,발목&발|복부,큰공,균형,짐볼 위에 앉아 다리를 골반 너비로 두고 골반을 앞뒤로 움직여 중간을 찾은 다음 코어에 힘을 줍니다. 골반을 좌우로 움직이면서 체중을 한쪽씩 옮겨줍니다. 골반이 가는 쪽 다리에 체중을 실어주는 동시에 반대쪽 다리의 뒤꿈치만 들어서 체중을 덜어주세요. 코어에 힘을 계속 유지하여 균형을 잡으면서 상체 자세가 흐트러지지 않게 하고 두 무릎이 모이 거나 벌어지지 않고 골반너비를 유지할 수 있도록 합니다. 일정 횟수 반복 후 중간지점으로 돌아와 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/539/MG/ced3ccf43bcdc5d1a906729a5e92805b.mp4
짐볼에 앉아 번갈아 발 들기,균형 /열린사슬운동 /능동,쉬움,복부|허리,큰공,균형,짐볼 위에 앉아 다리를 골반 너비로 두고 골반을 앞뒤로 움직여 중간을 찾은 다음 코어에 힘을 줍니다. 한쪽 다리에 체중을 실어주는 동시에 반대쪽 다리의 발을 바닥에서 살짝 들어주세요. 코어에 힘을 계속 유지하여 균형을 잡으면서 상체 자세가 흐트러지지 않게 하고 두 무릎이 모이 거나 벌어지지 않고 골반너비를 유지할 수 있도록 합니다. 일정 횟수 반복 후 중간지점으로 돌아와 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/540/MG/89639f88096596d94b5b7dbd3481110e.mp4
짐볼에 앉아 상체 숙이기,균형 /닫힌사슬운동 /능동,쉬움,복부|허리,큰공,균형,짐볼 위에 앉아 다리를 어깨너비로 두고 골반을 앞뒤로 움직여 중간을 찾은 다음 코어에 힘을 줍니다. 두 발바닥으로 바닥을 밀고 머리는 천장을 향하게 하여 상체를 일직선으로 만들어 준 다음 고관절을 굽혀 앞으로 숙여주세요. 허리가 아닌 고관절을 굽히는 자세로 골반부터 머리까지는 일직선을 유지하셔야 합니다. 체중이 앞으로 실리면서 허벅지에 힘이 들어오는 것을 느껴주세요. 코어와 하체의 힘으로 자세를 일정 시간 유지 후 천천히 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/542/MG/abde60a671e866c4be2e99973a94cc4a.mp4
짐볼에 앉아 상체 숙이기 2,균형 /닫힌사슬운동 /능동,쉬움,복부|허리,큰공,균형,짐볼 위에 앉아 다리를 어깨너비로 두고 골반을 앞뒤로 움직여 중간을 찾은 다음 코어에 힘을 줍니다. 두 발바닥으로 바닥을 밀고 머리는 천장을 향하게 하여 상체를 일직선으로 만들어 준 다음 고관절을 굽혀 앞으로 숙였다 돌아옵니다. 허리가 아닌 고관절을 굽혔다 펴는 동작으로 골반부터 머리까지는 일직선을 유지하셔야 합니다. 체중이 앞으로 실릴 때 허벅지에 힘이 더 들어오는 것을 느껴주세요. 코어와 하체의 힘으로 자세를 일정횟수 반복 후 천천히 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/543/MG/8d6983709237db2c93293f3c7856365d.mp4
짐볼에 앉아 양쪽 고관절 모음,근력 /열린사슬운동 /능동,쉬움,고관절&골반,큰공,근력,짐볼 위에 반듯이 앉아 양쪽 무릎을 골반 너비보다 넓게 벌리고 양손을 각각 무릎 안쪽에 얹어주세요. 다리로 부드럽게 손을 안쪽으로 밀어주되 손은 밀리지 않게 하여 다리의 움직임이 나오지 않게 합니다. 발은 바닥에서 떨어지지 않도록 합니다. 허벅지 안쪽에 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않게 상체 자세를 유지해줍니다. 일정 시간 유지 후 힘을 풀어 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/655/MG/ddb9f8a94cbcd26088636995bceace79.mp4
짐볼에 앉아 양쪽 고관절 벌림,근력 /열린사슬운동 /능동,쉬움,고관절&골반,큰공,근력,짐볼 위에 반듯이 앉아 양쪽 무릎을 골반 너비보다 넓게 벌리고 양손을 각각 무릎 바깥쪽에 얹어주세요. 다리로 부드럽게 손을 바깥쪽으로 밀어주되 손은 밀리지 않게 하여 다리의 움직임이 나오지 않게 합니다. 발은 바닥에서 떨어지지 않도록 합니다. 엉덩이 바깥쪽에 힘이 들어올 것입니다. 코어에 힘을 주어 허리가 꺾이지 않게 상체 자세를 유지해줍니다. 일정 시간 유지 후 힘을 풀어 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/654/MG/cdc3018fb70c84d44a6d14fce588eb17.mp4
짐볼에 앉아 좌우로 움직이기,균형 /닫힌사슬운동 /능동,쉬움,고관절&골반|복부|허리,큰공,균형,짐볼 위에 앉아 다리를 골반 너비로 두고 골반을 앞뒤로 움직여 중간을 찾고 코어에 힘을 줍니다. 엉덩이와 상체는 일직선을 유지하며 몸 전체로 짐볼을 밀면서 좌우로 움직여 한쪽씩 체중을 지지할 수 있도록 합니다. 자세가 흐트러지지 않게 주의하세요. 일정횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/538/MG/ebe2a2f87d6040be2f487e2649363146.mp4
짐볼에 앉아 좌우로 움직이기 2,균형 /닫힌사슬운동 /능동,쉬움,고관절&골반,큰공,균형,짐볼 위에 앉아 다리를 어깨너비로 두고 상체를 바르게 한 상태에서 코어에 힘을 줍니다. 두 발은 바닥에 있는 상태로 엉덩이를 좌우로 움직여 짐볼을 굴려줍니다. 머리는 계속 중앙에 있도록 해주세요. 고관절과 골반에 움직임을 주는 동작입니다. 허리의 자세가 무너지거나 통증이 생기지 않게 주의하세요. 일정횟수 동작 후 제자리로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/549/MG/3b4187c3481a3c5d16db37807a5e9140.mp4
짐볼에 앉아 팔 벌려 몸통 돌리기,관절 움직임 /열린사슬운동 /능동,매우 쉬움,등|목|허리,큰공,관절 움직임,짐볼에 바르게 앉아 두 팔을 옆으로 내려 살짝 벌려주세요. 천천히 가능한 범위 안에서 몸을 돌려주세요. 짐볼이 흔들리지 않게 코어를 유지하면서 몸을 돌려 척추의 움직임을 만들어주세요. 허리에 통증이 생기지 않아야 합니다. 점점 돌리는 범위를 늘려주세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2610/MG/f79635ec37cfe6447a80881d009668e0.mp4
짐볼에 엎드려 다리 떼고 팔굽혀펴기,근력 /닫힌사슬운동 /능동,쉬움,등|어깨,"매트|  
큰공",근력,짐볼을 골반과 허벅지 밑에 두고 다리를 바닥에서 들어 엎드려주세요. 양쪽 팔꿈치를 굽혀 상체를 아래로 내렸다가 손으로 바닥을 밀어 올려주세요. 가슴 앞쪽에 힘이 들어올 것입니다. 코어에 힘을 주어 머리부터 허리까지 자세가 흐트러지지 않게 주의하세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1827/MG/ddcede7941462f0b2fd7b2c2187e6180.mp4
짐볼에 엎드려 상체 들기,근력 /열린사슬운동 /능동,보통,등,"매트|  
큰공",근력,짐볼에 골반과 상체를 받치고 두 발은 바닥을 지지합니다. 양손은 머리 옆으로 두고 가슴을 살짝 들어주세요. 코어와 하지의 힘으로 몸이 흔들리지 않도록 하고 등의 힘으로 들어둔 상체를 유지합니다. 허리가 꺾이지 않게 코어에 힘을 계속 주셔야 합니다. 목에 강한 긴장이 오지 않도록 주의하세요. 일정 시간 유지 후 천천히 시작자세로 돌아가세요.,https://resources.mora.kr/static/exercise/media/534/MG/7bb0bd277dafe5992eef782fe3064c8e.mp4
짐볼에 엎드려 상체 들기 2,근력 /열린사슬운동 /능동,보통,등,"매트|  
큰공",근력,짐볼에 골반과 상체를 받치고 두 발은 바닥을 지지합니다. 양손은 머리 옆으로 두고 가슴을 살짝 들었다 내려줍니다. 코어와 하지의 힘으로 몸이 흔들리지 않도록 하고 등의 힘으로 상체를 움직여 주세요. 허리가 꺾이지 않게 코어에 힘을 계속 주셔야 합니다. 목에 강한 긴장이 오지 않도록 주의하세요. 일정횟수 반복 후 천천히 시작자세로 돌아가세요.,https://resources.mora.kr/static/exercise/media/535/MG/bad32057b41a37bd5a10c81a287425f4.mp4
짐볼에 엎드려 상체 들기 3,근력 /열린사슬운동 /능동,쉬움,등,"매트|  
큰공",근력,바닥에 무릎을 대고 앞에 둔 짐볼에 엎드려 주세요. 양손은 머리 뒤에 두고 가슴을 짐볼에서 떨어뜨려 상체를 들어주세요. 등을 곧게 펴고 어깨가 올라가지 않게 날개뼈를 아래쪽으로 당겨주세요. 등에 힘이 들어오는 것을 느껴주세요. 허리가 꺾이지 않게 코어에 힘을 주세요. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1333/MG/d339898b52c6657f225d1b5385467381.mp4
짐볼에 엎드려 상체 들기 4,근력 /열린사슬운동 /능동,쉬움,등,"매트|  
큰공",근력,바닥에 무릎을 대고 앞에 둔 짐볼에 엎드려 주세요. 양손은 머리 뒤에 두고 가슴을 짐볼에서 떨어뜨려 상체를 들었다가 다시 숙여주세요. 상체를 들었을 때 등을 곧게 펴고 어깨가 올라가지 않게 날개뼈를 아래쪽으로 당겨주세요. 등에 힘이 들어오는 것을 느껴주세요. 허리가 꺾이지 않게 코어에 힘을 주세요. 목이나 허리에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1334/MG/75619efd90c5904b7644391d934aae22.mp4
짐볼에 엎드려 팔굽혀펴기,근력 /닫힌사슬운동 /능동,쉬움,복부|어깨,"매트|  
큰공",근력,짐볼 위에 상체와 골반을 올려 엎드리고 양손은 바닥을 짚어주세요. 두 발은 바닥을 지지하고 팔꿈치를 굽혀 상체를 내렸다가 팔꿈치를 펴서 다시 올려주세요. 가슴과 팔의 힘으로 동작을 반복해 주세요. 어깨와 상체의 자세가 흐트러지지 않게 주의해 주세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1231/MG/b720cc4ba9b25c3840ab4d443841df19.mp4
짐볼에 엎드려 팔꿈치 굽히기,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,등,"매트|  
큰공",관절 움직임,짐볼을 배 밑에 두고 네발 자세로 엎드려주세요. 한쪽 팔꿈치를 굽히면서 어깨를 같이 바닥으로 내려 굽힌 팔의 반대쪽으로 등을 돌려주세요. 등의 돌림 움직임을 만들어 주는 동작으로 관절에 통증이 생기지 않는 범위 안에서 유지해 주세요. 자세가 흐트러지지 않게 코어에 힘을 유지해 주세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1820/MG/999bd35238b45b7d25981ab8270d069f.mp4
